INFO 2024-08-01 23:57:15,480 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-01 23:57:15,831 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\forms\utils.py first seen with mtime 1699555232.0981479
DEBUG 2024-08-01 23:57:15,831 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1699555232.081888
DEBUG 2024-08-01 23:57:15,833 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\contrib\staticfiles\views.py first seen with mtime 1699555231.9653678
DEBUG 2024-08-01 23:57:15,833 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\core\paginator.py first seen with mtime 1699555231.9653678
DEBUG 2024-08-01 23:57:15,833 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1699555230.6195908
DEBUG 2024-08-01 23:57:15,833 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1699555232.0656927
DEBUG 2024-08-01 23:57:15,833 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1699555232.0181332
DEBUG 2024-08-01 23:57:15,833 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\email\mime\base.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,833 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\_compat_pickle.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,835 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\keyword.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,836 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\middleware\security.py first seen with mtime 1699555232.1456454
DEBUG 2024-08-01 23:57:15,836 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\types.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,836 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\tempfile.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,837 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\contrib\contenttypes\views.py first seen with mtime 1699555230.8961527
DEBUG 2024-08-01 23:57:15,837 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\utils\autoreload.py first seen with mtime 1699555232.1775656
DEBUG 2024-08-01 23:57:15,837 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\asyncio\format_helpers.py first seen with mtime 1717698404.0
DEBUG 2024-08-01 23:57:15,837 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1699555232.081888
DEBUG 2024-08-01 23:57:15,837 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\DLLs\_hashlib.pyd first seen with mtime 1718723625.1538324
DEBUG 2024-08-01 23:57:15,837 autoreload File C:\Users\somna\anaconda3\envs\myDjangoEnv\Lib\site-packages\django\urls\exceptions.py first seen with mtime 1699555232.1775656
